transaction_name,matched_building_name,match_score
Koosing Building ,Kowloon Building,81.25
Cheung Hing Industrial Building,Cheung Hing Industrial Building (WD),100.0
China Merchants Godown,"Shun Tak Centre, China Merchants Tower",81.08108108108108
Tung Cheung Building,Tai Tung Building,86.66666666666667
Tien Shing Industrial Building,Tai Shing Industrial Building,94.91525423728814
On Shun Building ,Shun Yee Factory Building,89.65517241379311
Kam Teem Industrial Building,Kam Teem Industrial Building,100.0
Wayland Industrial Building,Wah Wan Industrial Building,88.88888888888889
Sun's Building,Bcc Building,80.0
Mon Hing Factory Building,Fook Hing Factory Building,91.30434782608695
Cheung Fat Building ,Cheung Fat Building (WD),100.0
Nan Sang Building ,Wah Sang Industrial Building Block A,86.66666666666667
Bank Building ,Bangkok Bank Building,100.0
General Building ,Bcc Building,80.0
Kam Kwan Building ,Kam Man Fung Factory Building,82.75862068965517
328 Des Voeux Road West,9 Des Voeux Road West,95.0
Kam Kwan Building Des Voeux Road West,9 Des Voeux Road West,95.0
294 Des Voeux Road West,9 Des Voeux Road West,95.45454545454545
Kuen Wah Building Queen's Road West,Koon Wah Building,82.75862068965517
Le Coine Building Caine Road,Bcc Building,80.0
General Building Centre Street,Bcc Building,80.0
163-173 Des Voeux Road West,9 Des Voeux Road West,95.0
149 Des Voeux Road West,9 Des Voeux Road West,95.45454545454545
22 Yee Wo Street,68 Yee Wo Street,89.65517241379311
Progress Commercial Building,Witty Commercial Building,86.36363636363636
Causeway Bay Plaza 2,Causeway Bay Plaza 2,100.0
Soundwill Plaza,Soundwill Plaza,100.0
Coasia Building,China Building,82.75862068965517
Gold Swan Commercial Building,Witty Commercial Building,86.36363636363636
Tower 535 Jaffe Road,Tower 535,100.0
"Times Square, Tower 1","Times Square, Tower 1",100.0
Redana Centre,Ocean Centre,80.0
Chung Wai Commercial Building,Chung Wai Commercial Building,100.0
Emperor Watch & Jewellery Centre Russell Street,Emperor Group Centre,82.35294117647058
Leighton Centre,Leighton Centre,100.0
Lee Garden Three,Lee Garden Three,100.0
Golden Bloom Centre,Golden Centre,100.0
Hang Lung Centre,Hang Lung Centre,100.0
Ying Kong Mansion Yee Wo Street,68 Yee Wo Street,89.65517241379311
Sino Plaza,Sino Plaza,100.0
Po Ming Building Foo Ming Street,Po Wai Building,84.61538461538461
Way On Commercial Building,Wayson Commercial Building,88.46153846153847
Causeway Bay Plaza 1,Causeway Bay Plaza 1,100.0
Prosperous Commercial Building,Prosperous Commercial Building,100.0
"Times Square, Tower 2","Times Square, Tower 2",100.0
World Trade Centre,World Trade Centre,100.0
Hang Seng Causeway Bay Building,Bcc Building,80.0
Plaza 2000 Russell Street,Plaza 2000,100.0
Winland Commercial Building,Wayson Commercial Building,86.79245283018868
Causeway Place Yee Wo Street,68 Yee Wo Street,89.65517241379311
Excellente Commercial Building,Witty Commercial Building,86.36363636363636
Hysan Place,Hysan Place,100.0
Zoroastrian Building,Bcc Building,80.0
Coasia Building Lockhart Road,Bcc Building,80.0
Lee Garden One,Lee Garden One,100.0
Causeway Bay Commercial Building,Witty Commercial Building,86.36363636363636
Lee Garden Five,Lee Garden Five,100.0
Lee Garden Six,Lee Garden Six,100.0
Causeway Bay Plaza 1 Hennessy Road,Causeway Bay Plaza 1,100.0
Kyoto Plaza Lockhart Road,Kyoto Plaza,100.0
Lee Garden Two,Lee Garden Two,100.0
Wellable Commercial Building,Witty Commercial Building,86.36363636363636
Tower 535,Tower 535,100.0
Capitol Centre,Capital Centre,92.85714285714286
Tang Fai Building Tang Lung Street,Wing Fai Building,82.75862068965517
Kyoto Plaza,Kyoto Plaza,100.0
WINDSOR HOUSE - CHUBB TOWER,WINDSOR HOUSE - CHUBB TOWER,100.0
Workingview Commercial Building,Witty Commercial Building,86.36363636363636
Siki Centre,Sino Centre,81.81818181818181
United Success Commercial Centre,United Centre,100.0
Catic Plaza,Catic Plaza,100.0
"China Tai Ping Tower, Phase I","China Tai Ping Tower, Phase I",100.0
Workingview Commercial Building Yiu Wa Street,Witty Commercial Building,86.36363636363636
Sino Plaza Gloucester Road,Sino Plaza,100.0
Causeway Bay Plaza 2 Lockhart Road,Causeway Bay Plaza 2,100.0
Hoi Deen Court Gloucester Road,80 Gloucester Road,90.9090909090909
68 Yee Wo Street,68 Yee Wo Street,100.0
Lee Fat Building Jardine's Crescent,Tung Lee Building,82.75862068965517
Po Foo Building Percival Street,Po Wai Building,84.61538461538461
Jing Long Commercial Building,Long To Building,89.65517241379311
Empire Court Hysan Avenue,One Hysan Avenue,85.71428571428571
Plaza 2000,Plaza 2000,100.0
Cofco Tower,Cofco Tower,100.0
World Trade Centre Gloucester Road,World Trade Centre,100.0
Eton Tower,Eton Tower,100.0
Park Avenue Tower,Park Avenue Tower,100.0
Tak Fat Building Russell Street,Bcc Building,80.0
Po Wing Bldg. Lee Garden Road,Lee Garden Two,83.33333333333333
Cameron Commercial Centre Hennessy Road,Boss Commercial Centre,87.17948717948718
Hong Kong Mansion Yee Wo Street,68 Yee Wo Street,89.65517241379311
Goldmark Hennessy Road,Goldmark,100.0
Cameron Commercial Centre,Arion Commercial Centre,87.5
Way On Commercial Building Jaffe Road,Witty Commercial Building,86.36363636363636
Circle Tower,Circle Tower,100.0
One Hysan Avenue,One Hysan Avenue,100.0
Catic Plaza Causeway Road,Catic Plaza,100.0
Capital Commercial Building,Witty Commercial Building,86.36363636363636
Mcdonald's Building,Bcc Building,80.0
Paliburg Plaza Yee Wo Street,68 Yee Wo Street,89.65517241379311
Hang Lung Centre Paterson Street,Hang Lung Centre,100.0
Soundwill Plaza Russell Street,Soundwill Plaza,100.0
Circle Tower Tang Lung Street,Circle Tower,100.0
"China Tai Ping Tower, Phase II","China Tai Ping Tower, Phase II",100.0
East Point Centre,East Point Centre,100.0
11 King Street,19 Kiu Wong Street,81.25
Phoenix Apartment Hysan Avenue,One Hysan Avenue,85.71428571428571
