id,region_id,region_name,subregion_id,subregion,district_id,district,sm_district_id,sm_district,combined_district_id,combined_district,int_district_id,int_district,int_sm_district_id,int_sm_district,estate_id,estate,building_id,building,building_first_op_date,unit,floor,floor_level,floor_level_id,flat,area,net_area,price,tags,tx_date,tx_type,last_tx_date,holding_period,last_price,mkt_type,source,original_source,update_date,gain,transaction_type,url_desc,location
I20250201038,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010001,Kennedy Town,100103-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,E12168,The Belcher's,B000025896,Block 6,2001-12-10T16:00:00.000Z,U000953363,,Middle Floor,M,B,980,767,39000,['MIDLAND'],2025-03-19T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-19T23:13:21.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Kennedy-Town-The-Belcher-s-I20250201038,"{'lat': 22.2854716, 'lon': 114.1334085}"
NO2025032025032000240049,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E08960,Valiant Park,B000002472,Valiant Park,1993-06-29T16:00:00.000Z,U000272156,8,Lower Floor,L,C,995,802,12050000,['LANDREG'],2025-03-19T16:00:00.000Z,S,2007-02-01T16:00:00.000Z,18.1,6200000,2,LANDREG,LANDREG,2025-03-20T23:07:11.000Z,94.35,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Valiant-Park-NO2025032025032000240049,"{'lat': 22.280853, 'lon': 114.148707}"
I20250200968,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E03275,Glory Heights,B000003899,Glory Heights,1989-03-22T16:00:00.000Z,U000382027,22,Middle Floor,M,B,1356,1093,19700000,['LANDREG'],2025-03-18T16:00:00.000Z,S,2009-03-23T16:00:00.000Z,16,9220000,2,LANDREG,MIDLAND,2025-03-20T11:07:47.000Z,113.67,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Glory-Heights-I20250200968,"{'lat': 22.283186, 'lon': 114.14116}"
NO2025031925031901910050,10,Hong Kong Island,1003,Southern,100303,Residence Bel-Air / Pokfulam,10030002,Residence Bel-Air / Pokfulam,100303-10030002,Residence Bel-Air / Pokfulam,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04427,Jessville,B000097726,Jessville Tower,2019-09-26T16:00:00.000Z,U002990242,8,Middle Floor,M,A,0,1431,26902800,"['LANDREG', 'FIRSTHAND']",2025-03-18T16:00:00.000Z,S,,,,1,LANDREG,LANDREG,2025-03-20T11:07:47.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jessville-NO2025031925031901910050,"{'lat': 22.267429999999997, 'lon': 114.13286}"
NO2025031825031801840051,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04903,Kenyon Court,B000002489,Kenyon Court,1983-12-13T16:00:00.000Z,U000272862,10,Lower Floor,L,A,983,862,11720000,['LANDREG'],2025-03-17T16:00:00.000Z,S,,,,2,LANDREG,LANDREG,2025-03-18T23:08:54.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Kenyon-Court-NO2025031825031801840051,"{'lat': 22.284048, 'lon': 114.144226}"
I20250300797,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010001,Kennedy Town,100103-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,E12168,The Belcher's,B000017711,Block 3,2000-12-28T16:00:00.000Z,U000857529,,Lower Floor,L,C,852,663,36500,['MIDLAND'],2025-03-17T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-24T07:06:49.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Kennedy-Town-The-Belcher-s-I20250300797,"{'lat': 22.284713999999997, 'lon': 114.133842}"
I20250300798,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00655,Peaksville,B000002276,Block 1,1993-01-11T16:00:00.000Z,U000262164,,Lower Floor,L,B,808,652,28500,['MIDLAND'],2025-03-17T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-24T07:06:49.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Peaksville-I20250300798,"{'lat': 22.2823, 'lon': 114.14767499999999}"
NO2025031725031700740142,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04903,Kenyon Court,B000002489,Kenyon Court,1983-12-13T16:00:00.000Z,U000272882,7,Lower Floor,L,B,1145,1004,13000000,['LANDREG'],2025-03-16T16:00:00.000Z,S,2009-10-01T16:00:00.000Z,15.5,8220000,2,LANDREG,LANDREG,2025-03-17T23:21:36.000Z,58.15,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Kenyon-Court-NO2025031725031700740142,"{'lat': 22.284048, 'lon': 114.144226}"
I20250300543,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E02380,Conduit Tower,B000003904,Conduit Tower,1992-07-29T16:00:00.000Z,U000382334,,Lower Floor,L,B,732,567,31000,['MIDLAND'],2025-03-15T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-22T07:05:02.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Conduit-Tower-I20250300543,"{'lat': 22.27903, 'lon': 114.15088}"
I20250201971,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000015310,Arezzo,B000079849,Arezzo,2015-01-15T16:00:00.000Z,U002391554,,Middle Floor,M,B,0,980,63000,['MIDLAND'],2025-03-14T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-14T23:09:56.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Arezzo-I20250201971,"{'lat': 22.282235999999997, 'lon': 114.1501112}"
